song_name,artist,play_count
- IRIS OUT,,1
歩く,ヨルシカ,1
それは小さな光のような,さユり,1
Rising Hope,LiSA(初披露かもしれない),1
コメントに関するお願い,,1
"Hello, world!のライブアレンジからBUMP語り",,1
(take 2 ) ray,BUMP OF CHICKEN,1
(take 2. ) God knows…,涼宮ハルヒ(CV.平野綾),1
何回言うけど「睡眠って大事」,,1
誕生日前夜オリ曲ライブ,,1
七海うららさんコメントの登場,,1
うららさんの髪の毛の色になりたい,,1
恋の間奏の「タランタンタランタラン。。。」がとっても良い,,1
今日ぐっすり眠れた理由,,1
今日はチャマさんの誕生日,,1
さくらんぼ,大塚愛,1
今日はジル先輩とお散歩してきた,,1
３日前５曲はで配信終わった日　先輩からケアされた話,,1
無原唱レコードのみんなに支えられまくり,,1
打合せでディレクターさんに昨日の配信の感想を聞いたら「うん、まあ」,,1
レコーディングはいっつも楽しい　サウンドディレクターは褒め上手,,1
ギターを始めてみたいけど何がいいですか？,,1
ジルさんが「ジャングルジムあるんだけど」,,1
「ジャカジャカ弾き語りスタイル」は少なからずさユりさんの影響ある,,1
何回も言うけど今週末誕生日前夜祭オリ曲だけ歌う！,,1
地獄でなぜ悪い,星野源,1
CH登録41000人達成　おめでとうございます！,,1
青いベンチ,サスケ,1
にじいろ,絢香,1
流星,コブクロ,1
光と闇,さユり(初披露),1
ドリフの早口ことば,ザドリフターズ,1
社会の窓,クリープハイプ,1
エンヴィキャットウォーク,トーマ,1
(t2 ) 言って。,ヨルシカ,1
2AM BUMP OF CHICKEN festival,,1
"改めてうれしい40,000人",,1
「年下の男の子」は上白石萌音のカバーをよく聴いていた,,1
1曲目のプレゼントはお母さんのカラオケで知った、,,1
いつものようにセルフアンコール,,1
10万人目標！？,,1
「Landmarks」3rd RELEASE 2025 10　同期3人のオリ曲,,1
無原唱レコードカフェ in JAM Akihabara,,1
年下の男の子,キャンディーズ,1
永遠はきらい,上白石萌音,1
チョコレイトディスコ,Perfume,1
恋愛レボリューション21,モーニング娘。,1
登録者40000人達成　おめでとうございます！,,1
1弦を６本セット買いました,,1
izumeet楽しかった→同期編やりたい,,1
メーメントヴァニタス、コメントに登場,,1
10月にizumeet同期編やります！,,1
美緒奈さんからLINE,,1
響声破笛丸の案件待ってます,,1
izumeet楽しかった→人に会いたい,,1
実はお酒飲んだ→You ara here,,1
みんなは寂しい時どうしてんの？,,1
ずっと人と一緒におんのは嫌やけど、でも、一人は寂しい,,1
自分から誘えないタイプ,,1
事務所の人と絶対仲良くなろうと思って自分から行動した,,1
お世辞言われたくないから、お世辞言わないのかも,,1
買って使ってない機材どんどん増えて、,,1
お母さんからLIME,,1
少女レイ,みきとP,1
微笑みの爆弾（幽遊白書）,馬渡松子,1
水色ファンファーレ,白河しらせ,1
極彩的ミラージュ,蜜乃木ジル,1
ブルーバード（ナルト）,いきものがかり,1
Awaken Now,松永依織,1
見守りコメント、今食べたいものいいね,,1
事務所の先輩の3Dお披露目ライブめっちゃよかった,,1
みんなん聞いて「10月13日㈷ミナミイズミ誕生日」,,1
明日は歌で殴り合いになるかも,,1
節約において大事なことは固定費を削ること,,1
防音室はレンタルしてよかった,,1
みなさんにお知らせがあります　「１弦切れました」,,1
弦交換なう,,1
39000人達成,,1
39000人達成おめでとう！ありがとう！,,1
今日の名言「ミナミイズミ伸びたい」,,1
あいうぉんとぅびーはぴー！,ミナミイズミ,1
寝るのもったいなくなって,,1
深夜テンションでマイク買った,,1
願い事は言っていかないと叶わへんから,,1
この世の中にある一番いい「ジャーン」はサザンクロス,,1
ライブ2曲目アンサーでめっちゃ刺さって泣いた,,1
ミナミイズミが6時をお知らせいたします,,1
月曜日か、一週間頑張っていきましょう！,,1
harmonized finale,UNISON SQUARE GARDEN,1
NE-TAXI,クリープハイプ(初披露),1
さよならエモーション,サカナクション,1
オープニング映像出し忘れで焦る,,1
心臓に悪い話,,1
ピック収穫,,1
初カバーショート動画は「怪獣,サカナクション」明日でショート動画100本目,1
ミナミイズミ　BUMP OF CHICKENが大好き（いつもの）,,1
満月の夜なら,あいみょん,1
フラレガイガール,さユり,1
漂白,あいみょん(初披露の気持ち),1
好きなコナンの映画,,1
高評価1000　登録者37600人　ありがとうございます。,,1
My landscape,BiSH,1
花鳥風月,SEKAI NO OWARI,1
私の思春期へ,赤頬思春期(BOL4),1
雪の華,中島美嘉,1
妄想税,DECO*27,1
ストリーミングハート,DECO*27,1
リンネ,ハチ,1
ERROR,niki,1
magnet,流星P,1
1925,とみー,1
( take 2) ケッペキショウ,すこっぷ,1
心拍数♯0822,蝶々P,1
Catch the moment,LiSA,1
おどるポンポコリン,B.B.クイーンズ(初披露),1
アンパンマンたいそう,ドリーミング(初披露),1
陽炎,フジファブリック,1
innocence,LAMP IN TERREN,1
Water Lily,LAMP IN TERREN,1
別の人の彼女になったよ,wacci,1
瞳に映らない,indigo la End,1
おかえり,絢香,1
さよならアイデンティティー,Yonige(初披露),1
美しい棘,GLIM SPANKY,1
涙のイエスタデー,GARNET CROW,1
今夜このまま,あいみょん,1
don't cry anymore,miwa,1
===== 「今日はよう声でるわ」 好きなナルトのキャラクターは...ブリーチの好きなキャラは...ワンピースは...,,1
HANABI,いきものがかり(初披露),1
chAngE,Miwa(初披露),1
さユり航海の唄,さユり,1
